created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
2020-10-15 00:00:01,1.3165292227484303e+18,"Usa 2020, Trump contro Facebook e Twitter: coprono Biden   #donaldtrump https://t.co/6ceURhe1VP https://t.co/94jidLjoON",26.0,9.0,Social Mediaset ,331617619.0,Tgcom24,MediasetTgcom24,Profilo ufficiale di Tgcom24: tutte le notizie sul sito https://t.co/sC5iMbymSN e sul canale 51 del digitale terrestre,2011-07-08 13:12:20,1067661.0,,,,,,,,,2020-10-21 00:00:00.373216530
2020-10-15 00:00:02,1.316529227471237e+18,2 hours since last tweet from #Trump! Maybe he is VERY busy. Tremendously busy.,0.0,0.0,Trumpytweeter,8.28355589206057e+17,Trumpytweeter,trumpytweeter,"If he doesn't tweet for some time, should we be worried?",2017-02-05 21:32:17,32.0,,,,,,,,,2020-10-21 00:00:01.119649591
2020-10-15 00:00:08,1.3165292523014513e+18,
You get a tie! And you get a tie! #Trump ‘s rally #Iowa https://t.co/jJalUUmh5D,4.0,3.0,Twitter for iPhone,47413798.0,Rana Abtar - رنا أبتر,Ranaabtar,"Washington Correspondent, Lebanese-American ,covering Capitol Hill &DC politics in Arabic for 15+yrs. Mom of identical twins. Beach, chocolate & gym lover.",2009-06-15 19:05:35,5393.0,Washington DC,38.8949924,-77.0365581,Washington,United States of America,North America,District of Columbia,DC,2020-10-21 00:00:01.492866121
2020-10-15 00:00:17,1.316529289949569e+18,@richardmarx Glad u got out of the house! DICK!!#trump 2020💪🏽🇺🇸🇺🇸,0.0,0.0,Twitter for iPhone,7.674018410302095e+17,Michael Wilson,wilsonfire9,,2016-08-21 16:43:51,75.0,"Powell, TN",,,,,,,,2020-10-21 00:00:02.239299182
2020-10-15 00:00:18,1.3165292934979625e+18,@DeeviousDenise @realDonaldTrump @nypost There won’t be many of them.  Unless you all have been voting more than once again.  But God prevails.  BO was the most corrupt President ever.  Dark to light.  Your lies are all coming through.  They wouldn’t last forever. #Trump,0.0,0.0,Twitter for iPhone,9.007610716314296e+17,Stacey Gulledge 🇺🇸 Patriot ♥️ KAG 🙏 👮‍♀️♥️,sm_gulledge,"Patriot, Wife, “Shaken not Stirred” Mom of two extraordinary kids & labradoodle lover of “Honey Buns” Trust the Plan! Always Save Our Children!",2017-08-24 16:45:49,766.0,"Ohio, USA",40.225356899999994,-82.6881395,,United States of America,North America,Ohio,OH,2020-10-21 00:00:02.612515712
2020-10-15 00:00:20,1.3165293013329183e+18,One of the single most effective remedies to eradicate another round of #Trump Plague in our #WhiteHouse. https://t.co/QGB9ODIVS8,0.0,0.0,Twitter Web App,540476889.0,Jamieo,jamieo33,"Don't know what I am. Can lean left and right, progressive and regressive, moderate and immoderate, right and wrong. All is subject to change.",2012-03-30 00:30:54,151.0,"Pennsylvania, USA",40.9699889,-77.72788309999999,,United States of America,North America,Pennsylvania,PA,2020-10-21 00:00:02.985732243
